name,price,old_price,discount,rating,reviews,product_url,image_url,specifications
M10 TWS Wireless Bluetooth Earbuds,Rs749,"Rs2,499",70% OFF,4.7,2614,https://priceoye.pk/wireless-earbuds/assorted/m10-tws-wireless-bluetooth-earbuds,https://images.priceoye.pk/m10-tws-wireless-bluetooth-earbuds-pakistan-priceoye-4m9kq-100x100.webp,"{'General Features - Noise Cancellation': 'No', 'General Features - Water Resistant': 'IPX7', 'General Features - Charging Interface': 'Micro USB', 'General Features - Auto Pairing': 'Yes', 'General Features - Compatibility': 'Android 5.0 iOS 9.0 and above', 'General Features - Mic': 'Yes', 'General Features - Driver Size': 'NS', 'Connectivity - Bluetooth Version': '5.1', 'Connectivity - Bluetooth Range': 'Up to 10m', 'Connectivity - Microphone': 'Yes', 'Battery - Capacity for buds': '50mAh', 'Battery - Capacity for Case': '3500mAh', 'Battery - Playtime': '2-3 Hrs', 'Battery - Charging Time': '1.5 Hrs'}"
A6s Wireless Bluetooth Earbuds,Rs699,"Rs2,999",77% OFF,5,3,https://priceoye.pk/wireless-earbuds/assorted/a6s-wireless-bluetooth-earbuds,https://images.priceoye.pk/a6s-wireless-bluetooth-earbuds-pakistan-priceoye-xl3av-100x100.webp,"{'General Features - Noise Cancellation': 'No', 'General Features - Water Resistant': 'IP67', 'General Features - Charging Interface': 'Micro', 'General Features - Auto Pairing': 'Yes', 'General Features - Compatibility': 'Android IOS & Windows', 'General Features - Mic': 'Yes', 'General Features - Driver Size': 'N/A', 'Connectivity - Bluetooth Version': '5.0', 'Connectivity - Bluetooth Range': '10m', 'Connectivity - Microphone': 'Yes', 'Battery - Capacity for buds': 'N/A', 'Battery - Capacity for Case': 'N/A', 'Battery - Playtime': '4 Hrs', 'Battery - Charging Time': '1.5 Hrs'}"
Airs pro 2 Tws wireless Earbuds,Rs749,"Rs2,000",63% OFF,4.6,148,https://priceoye.pk/wireless-earbuds/assorted/airs-pro-2-tws-wireless-earbuds,https://images.priceoye.pk/airs-pro-2-tws-wireless-earbuds-pakistan-priceoye-m96p5-100x100.webp,"{'General Features - Noise Cancellation': 'N/A', 'General Features - Water Resistant': 'N/A', 'General Features - Charging Interface': 'Lightning', 'General Features - Auto Pairing': 'Yes', 'General Features - Compatibility': 'Android IOS', 'General Features - Mic': 'Yes', 'General Features - Driver Size': 'N/A', 'Connectivity - Bluetooth Version': '5.0', 'Connectivity - Bluetooth Range': '10m', 'Connectivity - Microphone': 'Yes', 'Battery - Capacity for buds': '35mAh', 'Battery - Capacity for Case': '300mAh', 'Battery - Playtime': '3-4 Hrs', 'Battery - Charging Time': '1-2 Hours'}"
Sound Style T10 Stereo Earbuds,"Rs1,699","Rs2,999",43% OFF,5,3,https://priceoye.pk/wireless-earbuds/assorted/sound-style-t10-stereo-earbuds,https://images.priceoye.pk/sound-style-t10-stereo-earbuds-pakistan-priceoye-hc5jo-100x100.webp,"{'General Features - Noise Cancellation': 'N/A', 'General Features - Water Resistant': 'N/A', 'General Features - Charging Interface': 'C-Type', 'General Features - Auto Pairing': 'Yes', 'General Features - Compatibility': 'Android / IOS', 'General Features - Mic': 'Yes', 'General Features - Driver Size': 'N/A', 'Connectivity - Bluetooth Version': 'V5.1', 'Connectivity - Bluetooth Range': '10M / 30FT', 'Connectivity - Microphone': 'Yes', 'Battery - Capacity for buds': '35mAh', 'Battery - Capacity for Case': '300mAh', 'Battery - Playtime': '5-6 Hours', 'Battery - Charging Time': '2 Hours'}"
A9 Pro Airpods,"Rs1,649","Rs5,000",67% OFF,4.7,179,https://priceoye.pk/wireless-earbuds/assorted/a9-pro-air-pods,https://images.priceoye.pk/a9-pro-air-pods-pakistan-priceoye-cg4uk-100x100.webp,"{'General Features - Noise Cancellation': 'N/A', 'General Features - Water Resistant': 'IPX4', 'General Features - Charging Interface': 'Type C', 'General Features - Auto Pairing': 'N/A', 'General Features - Compatibility': 'Android and IOS', 'General Features - Mic': 'Yes', 'General Features - Driver Size': 'N/A', 'Connectivity - Bluetooth Version': '5.0', 'Connectivity - Bluetooth Range': 'N/A', 'Connectivity - Microphone': 'Yes', 'Battery - Capacity for buds': '30 mAh', 'Battery - Capacity for Case': '500 mAh', 'Battery - Playtime': '3-4 Hrs', 'Battery - Charging Time': '1.5 Hrs'}"
Lenovo HE05X Neckband Wireless,"Rs1,049","Rs2,100",50% OFF,4.7,258,https://priceoye.pk/wireless-earbuds/lenovo/lenovo-he05x-neckband-wireless,https://images.priceoye.pk/lenovo-he05x-neckband-wireless-pakistan-priceoye-bguye-100x100.webp,"{'General Features - Noise Cancellation': 'No', 'General Features - Water Resistant': 'IPX5', 'General Features - Charging Interface': 'Micro USB', 'General Features - Auto Pairing': 'No', 'General Features - Compatibility': 'Android & iOS', 'General Features - Mic': 'Yes', 'General Features - Driver Size': '10mm', 'Connectivity - Bluetooth Version': 'v5.0', 'Connectivity - Bluetooth Range': '10m', 'Connectivity - Microphone': 'Yes', 'Battery - Capacity for buds': 'No', 'Battery - Capacity for Case': 'No', 'Battery - Playtime': '2 to 3 hours', 'Battery - Charging Time': 'About 2 hours'}"
Itel BudsNeo 3 Wireless Earbuds,"Rs3,149","Rs8,499",63% OFF,N/A,N/A,https://priceoye.pk/wireless-earbuds/itel/itel-budsneo-3-wireless-earbuds,https://images.priceoye.pk/itel-budsneo-3-wireless-earbuds-pakistan-priceoye-a6z9q-100x100.webp,"{'General Features - Noise Cancellation': 'AI Call Noise Cancelation', 'General Features - Water Resistant': 'IPX5', 'General Features - Charging Interface': 'C-Type', 'General Features - Auto Pairing': 'Yes', 'General Features - Compatibility': 'Android / IOS', 'General Features - Mic': 'Yes', 'General Features - Driver Size': '10mm', 'Connectivity - Bluetooth Version': 'V5.3', 'Connectivity - Bluetooth Range': '10M / 30FT', 'Connectivity - Microphone': 'Yes', 'Battery - Capacity for buds': 'N/A', 'Battery - Capacity for Case': 'N/A', 'Battery - Playtime': '5-6 Hours', 'Battery - Charging Time': '2 Hours'}"
M25 Gaming Wireless Earbuds,"Rs1,089","Rs3,999",73% OFF,4.8,79,https://priceoye.pk/wireless-earbuds/assorted/m25-gaming-wireless-earbuds,https://images.priceoye.pk/m25-gaming-wireless-earbuds-pakistan-priceoye-q1epp-100x100.webp,"{'General Features - Noise Cancellation': 'No', 'General Features - Water Resistant': 'IP67', 'General Features - Charging Interface': 'Micro', 'General Features - Auto Pairing': 'Yes', 'General Features - Compatibility': 'Android IOS', 'General Features - Mic': 'Yes', 'General Features - Driver Size': 'N/A', 'Connectivity - Bluetooth Version': '5.2', 'Connectivity - Bluetooth Range': '20Hz - 20,000Hz', 'Connectivity - Microphone': 'Yes', 'Battery - Capacity for buds': 'N/A', 'Battery - Capacity for Case': '2000mAh', 'Battery - Playtime': '2-3 Hours', 'Battery - Charging Time': '1.5 Hrs'}"
Faster S5 ANC Special Edition Wireless Headphones,"Rs4,999","Rs13,000",62% OFF,4,1,https://priceoye.pk/wireless-earbuds/faster/faster-s5-anc-special-edition-wireless-headphones,https://images.priceoye.pk/faster-s5-anc-special-edition-wireless-headphones-pakistan-priceoye-r1479-100x100.webp,"{'General Features - Noise Cancellation': 'ANC', 'General Features - Water Resistant': 'N/A', 'General Features - Charging Interface': 'C-Type', 'General Features - Auto Pairing': 'Yes', 'General Features - Compatibility': 'Android / IOS', 'General Features - Mic': 'Yes', 'General Features - Driver Size': 'N/A', 'Connectivity - Bluetooth Version': 'V5.3', 'Connectivity - Bluetooth Range': '10M / 30FT', 'Connectivity - Microphone': 'Yes', 'Battery - Capacity for buds': '30mAh', 'Battery - Capacity for Case': 'N/A', 'Battery - Playtime': '10 Hours', 'Battery - Charging Time': '3 Hours'}"
Air 39 Gaming Earbuds,Rs749,"Rs2,700",72% OFF,4.6,161,https://priceoye.pk/wireless-earbuds/assorted/air-39-gaming-earbuds,https://images.priceoye.pk/air-39-gaming-earbuds-pakistan-priceoye-m621p-100x100.webp,"{'General Features - Noise Cancellation': 'N/A', 'General Features - Water Resistant': 'IPX4', 'General Features - Charging Interface': 'N/A', 'General Features - Auto Pairing': 'Yes', 'General Features - Compatibility': 'Android IOS & Windows', 'General Features - Mic': 'Yes', 'General Features - Driver Size': 'NA', 'Connectivity - Bluetooth Version': '5.3', 'Connectivity - Bluetooth Range': '10m', 'Connectivity - Microphone': 'Yes', 'Battery - Capacity for buds': 'N/A', 'Battery - Capacity for Case': '230mAH', 'Battery - Playtime': '3-4 Hrs', 'Battery - Charging Time': '1.5 hours'}"
