name,price,old_price,discount,rating,reviews,product_url,image_url,General Features - Noise Cancellation,General Features - Water Resistant,General Features - Charging Interface,General Features - Auto Pairing,General Features - Compatibility,General Features - Mic,General Features - Driver Size,Connectivity - Bluetooth Version,Connectivity - Bluetooth Range,Connectivity - Microphone,Battery - Capacity for buds,Battery - Capacity for Case,Battery - Playtime,Battery - Charging Time
M10 TWS Wireless Bluetooth Earbuds,Rs749,"Rs2,499",70% OFF,4.7,2614.0,https://priceoye.pk/wireless-earbuds/assorted/m10-tws-wireless-bluetooth-earbuds,https://images.priceoye.pk/m10-tws-wireless-bluetooth-earbuds-pakistan-priceoye-4m9kq-100x100.webp,No,IPX7,Micro USB,Yes,Android 5.0 iOS 9.0 and above,Yes,NS,5.1,Up to 10m,Yes,50mAh,3500mAh,2-3 Hrs,1.5 Hrs
A6s Wireless Bluetooth Earbuds,Rs699,"Rs2,999",77% OFF,5.0,3.0,https://priceoye.pk/wireless-earbuds/assorted/a6s-wireless-bluetooth-earbuds,https://images.priceoye.pk/a6s-wireless-bluetooth-earbuds-pakistan-priceoye-xl3av-100x100.webp,No,IP67,Micro,Yes,Android IOS & Windows,Yes,N/A,5.0,10m,Yes,N/A,N/A,4 Hrs,1.5 Hrs
Airs pro 2 Tws wireless Earbuds,Rs749,"Rs2,000",63% OFF,4.6,148.0,https://priceoye.pk/wireless-earbuds/assorted/airs-pro-2-tws-wireless-earbuds,https://images.priceoye.pk/airs-pro-2-tws-wireless-earbuds-pakistan-priceoye-m96p5-100x100.webp,N/A,N/A,Lightning,Yes,Android IOS,Yes,N/A,5.0,10m,Yes,35mAh,300mAh,3-4 Hrs,1-2 Hours
Sound Style T10 Stereo Earbuds,"Rs1,699","Rs2,999",43% OFF,5.0,3.0,https://priceoye.pk/wireless-earbuds/assorted/sound-style-t10-stereo-earbuds,https://images.priceoye.pk/sound-style-t10-stereo-earbuds-pakistan-priceoye-hc5jo-100x100.webp,N/A,N/A,C-Type,Yes,Android / IOS,Yes,N/A,V5.1,10M / 30FT,Yes,35mAh,300mAh,5-6 Hours,2 Hours
A9 Pro Airpods,"Rs1,649","Rs5,000",67% OFF,4.7,179.0,https://priceoye.pk/wireless-earbuds/assorted/a9-pro-air-pods,https://images.priceoye.pk/a9-pro-air-pods-pakistan-priceoye-cg4uk-100x100.webp,N/A,IPX4,Type C,N/A,Android and IOS,Yes,N/A,5.0,N/A,Yes,30 mAh,500 mAh,3-4 Hrs,1.5 Hrs
Lenovo HE05X Neckband Wireless,"Rs1,049","Rs2,100",50% OFF,4.7,258.0,https://priceoye.pk/wireless-earbuds/lenovo/lenovo-he05x-neckband-wireless,https://images.priceoye.pk/lenovo-he05x-neckband-wireless-pakistan-priceoye-bguye-100x100.webp,No,IPX5,Micro USB,No,Android & iOS,Yes,10mm,v5.0,10m,Yes,No,No,2 to 3 hours,About 2 hours
Itel BudsNeo 3 Wireless Earbuds,"Rs3,149","Rs8,499",63% OFF,,,https://priceoye.pk/wireless-earbuds/itel/itel-budsneo-3-wireless-earbuds,https://images.priceoye.pk/itel-budsneo-3-wireless-earbuds-pakistan-priceoye-a6z9q-100x100.webp,AI Call Noise Cancelation,IPX5,C-Type,Yes,Android / IOS,Yes,10mm,V5.3,10M / 30FT,Yes,N/A,N/A,5-6 Hours,2 Hours
M25 Gaming Wireless Earbuds,"Rs1,089","Rs3,999",73% OFF,4.8,79.0,https://priceoye.pk/wireless-earbuds/assorted/m25-gaming-wireless-earbuds,https://images.priceoye.pk/m25-gaming-wireless-earbuds-pakistan-priceoye-q1epp-100x100.webp,No,IP67,Micro,Yes,Android IOS,Yes,N/A,5.2,"20Hz - 20,000Hz",Yes,N/A,2000mAh,2-3 Hours,1.5 Hrs
Faster S5 ANC Special Edition Wireless Headphones,"Rs4,999","Rs13,000",62% OFF,4.0,1.0,https://priceoye.pk/wireless-earbuds/faster/faster-s5-anc-special-edition-wireless-headphones,https://images.priceoye.pk/faster-s5-anc-special-edition-wireless-headphones-pakistan-priceoye-r1479-100x100.webp,ANC,N/A,C-Type,Yes,Android / IOS,Yes,N/A,V5.3,10M / 30FT,Yes,30mAh,N/A,10 Hours,3 Hours
Air 39 Gaming Earbuds,Rs749,"Rs2,700",72% OFF,4.6,161.0,https://priceoye.pk/wireless-earbuds/assorted/air-39-gaming-earbuds,https://images.priceoye.pk/air-39-gaming-earbuds-pakistan-priceoye-m621p-100x100.webp,N/A,IPX4,N/A,Yes,Android IOS & Windows,Yes,NA,5.3,10m,Yes,N/A,230mAH,3-4 Hrs,1.5 hours
N35 Gaming Wireless Earbuds,"Rs1,499","Rs2,500",40% OFF,4.8,21.0,https://priceoye.pk/wireless-earbuds/assorted/n35-gaming-wireless-earbuds,https://images.priceoye.pk/n35-gaming-wireless-earbuds-pakistan-priceoye-dz2ha-100x100.webp,N/A,IP67,N/A,Yes,Android IOS & Windows,Yes,N/A,5.2,10m,Yes,55mAh,300mAh,4.5 Hrs,1.5 Hrs
Ronin R-190 Earbuds,"Rs3,999","Rs7,599",47% OFF,5.0,2.0,https://priceoye.pk/wireless-earbuds/ronin/ronin-r-190-earbuds,https://images.priceoye.pk/ronin-r-190-earbuds-pakistan-priceoye-2y6y0-100x100.webp,No,IPX4,USB-C,No,Android & iOS,Yes,13mm,v5.3,10m,Yes,30*2mAh,350mAh,4 hours,"2 hours earbuds, 2.5 hours case"
